1	1	k231	Tachipirin	test	test	t
2	1	k304	tachipirin	test	test	t
3	1	k2313	Tachipirin	test	test	t
4	2	k23112	Tachipirin	test	test	t
5	2	a231	viagra	test	test	t
6	3	b231	Tachipirin	test	test	t
7	3	c231	Tachipirin	test	test	t
8	3	d231	Tachipirin	test	test	t
9	3	g231	Tachipirin	test	test	t
10	5	ff231	Tachipirin	test	test	t
11	5	tt304	tachipirin	test	test	t
12	5	gg231	tachipirin	test	test	t
13	5	f5231	tachipirin	test	test	t
14	1	fr231	tachipirin	test	test	t
15	2	k4f231	tachipirin	test	test	t
16	4	k443231	tachipirin	test	test	t
17	4	kn4231	tachipirin	test	test	t
18	3	k343231	tachipirin	test	test	t
19	2	k5g231	tachipirin	test	test	t
20	1	kret4231	tachipirin	test	test	t
21	4	k23541	tachipirin	test	test	t
\.


