1	1	1	250	2023-01-10 00:00:00
1	5	2	35	2023-01-10 00:00:00
2	4	3	550	2023-01-10 00:00:00
3	12	4	350	2023-01-10 00:00:00
2	11	5	45	2023-01-10 00:00:00
2	4	6	50	2023-01-10 00:00:00
5	13	7	150	2023-01-10 00:00:00
5	14	8	35	2023-01-10 00:00:00
3	20	9	550	2023-01-10 00:00:00
3	21	10	250	2023-01-10 00:00:00
6	5	11	35	2023-01-10 00:00:00
4	6	12	550	2023-01-10 00:00:00
3	4	13	250	2023-01-10 00:00:00
1	6	14	35	2023-01-10 00:00:00
2	19	15	550	2023-01-10 00:00:00
2	18	16	250	2023-01-10 00:00:00
4	4	17	35	2023-01-10 00:00:00
3	6	18	550	2023-01-10 00:00:00
3	18	19	250	2023-01-10 00:00:00
3	4	20	35	2023-01-10 00:00:00
4	6	21	550	2023-01-10 00:00:00
\.


